year,recipient_type,amount_Agriculture,amount_COVID-19,amount_Camp Coordination / Management,amount_Coordination and support services,amount_Early Recovery,amount_Education,amount_Emergency Shelter and NFI,amount_Emergency Telecommunications,amount_Food Security,amount_Health,amount_Logistics,amount_Multi-sector,amount_Nutrition,amount_Other,amount_Protection,amount_Unspecified,amount_Water Sanitation Hygiene,proportion_Agriculture,proportion_COVID-19,proportion_Camp Coordination / Management,proportion_Coordination and support services,proportion_Early Recovery,proportion_Education,proportion_Emergency Shelter and NFI,proportion_Emergency Telecommunications,proportion_Food Security,proportion_Health,proportion_Logistics,proportion_Multi-sector,proportion_Nutrition,proportion_Other,proportion_Protection,proportion_Unspecified,proportion_Water Sanitation Hygiene
2015,"",4000,0,0,16649858,24083250,11797364,46939453,0,58876420,41511184,1176088,142785079,0,0,1706440,123767010,6514230,8.40671032361009e-06,0,0,0.0349926332838105,0.0506152266002707,0.0247942554325465,0.0986515960299277,0,0.123739251957801,0.0872431247695195,0.00247175778276849,0.300088199421696,0,0,0.0035863866911553,0.260118350172338,0.0136908111478426
2015,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,Government: Local Government,0,0,0,68032,0,898449,4224117,0,860000,328974,4328443,0,0,0,0,0,1268150,0,0,0,0.00568061645777258,0,0.0750197579943162,0.352710320874838,0,0.0718092978845899,0.0274690604212617,0.361421456701707,0,0,0,0,0,0.105889489665515
2015,Government: National government,0,0,70188,33688373,6384773,824596,12402512,0,37063451,46115366,0,0,0,0,3e+05,25584958,4403258,0,0,0.000420696848834472,0.201923296909163,0.0382694175873856,0.00494251066794196,0.0743388857928952,0,0.222153032464679,0.27640891832006,0,0,0,0,0.00179815715863597,0.153352584603669,0.026392499646737
2015,Inter-governmental,0,0,0,2707157,0,0,0,0,540000,0,0,0,173267,0,4231685,464480,0,0,0,0,0.333533828064967,0,0,0,0,0.0665304107427393,0,0,0,0.0213472679225226,0,0.521362483673868,0.0572260095959029,0
2015,NGO,0,0,0,0,371424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,NGO: Affiliated,0,0,0,16670,0,780000,2990275,0,5e+05,2952774,0,5876422,0,0,79004,1016861,98236,0,0,0,0.00116489993670268,0,0.0545064157545344,0.208960477397936,0,0.0349400100990605,0.206339906760487,0,0.410644488052683,0,0,0.00552080111573236,0.0710582672186816,0.00686473366418262
2015,NGO: International,12836982,0,3668748,8913510,30585239,31471558,117383965,0,59243782.3333333,64264719,0,432194737,14382929.3333333,520000,52140523.1333333,159698392.666667,73200154,0.0121045908330031,0,0.0034594341107122,0.00840496554687712,0.0288402526095783,0.0296760042560725,0.110686831739778,0,0.0558637337455563,0.0605982098045259,0,0.40753663529032,0.0135623368919578,0.000490332325242929,0.0491657383602886,0.150587085026548,0.0690238494595394
2015,NGO: Local,0,0,0,0,343315,745177,990132,0,484649,323245,0,178263,1464733,0,1164585,244683,499626,0,0,0,0,0.053322964310432,0.11573932562211,0.153785221439834,0,0.0752746641716399,0.0502057340883026,0,0.0276874345335058,0.227499251367729,0,0.1808808947802,0.0380036493493423,0.0776008603369032
2015,NGO: National,1861641,0,71262,862953,1130565,3130686,1502940,0,4848668,8130784,0,4110572,5292371,0,5255022,38487121.3333333,3243658,0.0238891693225644,0,0.000914456645650039,0.0110736873190991,0.0145077696049695,0.040173958324823,0.019286204021965,0,0.062219649675152,0.104336805915425,0,0.0527481670851642,0.0679133876707859,0,0.0674341134256288,0.493878980034325,0.0416236509544486
2015,NGO: Uncategorized NGO,1110659,0,0,7830,0,0,319829,0,2198394,422772,0,0,0,0,245349,6538507,151951,0.101012242422688,0,0,0.000712123035215712,0,0,0.0290878158659011,0,0.19993959232184,0.0384502783964517,0,0,0,0,0.0223140069689834,0.594664297652513,0.0138196433364065
2015,Pooled fund: Country-based,0,0,0,750000,0,0,3029937,0,18348624,4236496,0,158912060,0,141772734,0,435105005,0,0,0,0,0.000984051986411538,0,0,0.00397548736473576,0,0.0240746665268246,0.00555857640563272,0,0.208503637743666,0,0.186015654015593,0,0.570887925957137,0
2015,Pooled fund: Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375264822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,Private organization/foundation: International organization/foundation/individual,104965,0,0,8371309,0,0,24468865,0,4421959,381160,0,3158181,0,0,664771,7e+05,0,0.00248313213650615,0,0,0.198038073667633,0,0,0.578854142098133,0,0.104609236404636,0.00901701181489718,0,0.0747123396751595,0,0,0.0157263300482764,0.0165597341547592,0
2015,Private organization/foundation: Local/National organization/foundation/individual,0,0,0,0,0,0,0,0,0,256910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,Private organization/foundation: Uncategorized,0,0,0,459084,0,6500000,16365706,0,3178140,748659,0,0,27610,0,429780,0,0,0,0,0,0.0165680590396348,0,0.234580999898986,0.590628258081974,0,0.114697116772148,0.0270186425851346,0,0,0.000996427908801692,0,0.0155104957133209,0,0
2015,Red Cross/Red Crescent: International Society,0,0,0,0,1285208,0,1961756,0,0,860193,0,165017,0,0,38374610,92559495,0,0,0,0,0,0.00950553487238562,0,0.0145093557378352,0,0,0.00636207879073427,0,0.00122048325876937,0,0,0.283822691400301,0.684579855939975,0
2015,Red Cross/Red Crescent: National Society,655122,0,92228,38386998,211859866,26791395,139969185,0,112718252,105078086,9912074,16994168,0,0,4380996,75946223.3333333,8786195,0.000871670387100574,0,0.000122713657092132,0.0510756918654677,0.281889436482511,0.035647201056619,0.186235531200451,0,0.149976893394116,0.139811296063035,0.0131884769257475,0.0226115334228009,0,0,0.00582911958262135,0.101049993576453,0.0116904423859848
2015,UN agency,58156035,0,26476210,346091022,123537414,155773542,322932488,32722015,2458895150,647134353,177699314,3093202521,160306078,110127114,201609600,3114388201.33333,229763446,0.0051653782005896,0,0.00235159838472881,0.0307395616028255,0.0109725063827479,0.0138356966405194,0.0286826368712613,0.00290634639999728,0.218397340969781,0.0574780189165037,0.0157831283166971,0.274736076350153,0.0142382733059985,0.00978141295137204,0.0179068231331381,0.276617773604075,0.0204074279696122
2016,"",357749,0,27275397,4422732,66559780,10001667,32933210,0,34706636,11150192,19500,51183755,0,0,2991065,82334153,1475582,0.00109937445403345,0,0.0838181928822178,0.0135912010315508,0.204540395076119,0.0307354519440987,0.101204838485415,0,0.106654634964284,0.0342649070783374,5.99241419365316e-05,0.157289364075111,0,0,0.00919164121032778,0.253015562594672,0.00453451206189698
2016,Government,0,0,0,29215,0,0,0,0,88333,0,0,0,0,0,0,0,0,0,0,0,0.248536767958621,0,0,0,0,0.751463232041379,0,0,0,0,0,0,0,0
2016,Government: Local Government,0,0,0,0,0,82983,0,0,1837500,13354241,16063526,0,0,0,0,0,0,0,0,0,0,0,0.00264797810981787,0,0,0.0586344164080636,0.426132314344292,0.512585291137827,0,0,0,0,0,0
2016,Government: National government,298641,0,6534168,22048921,14093333,15049127,17083561,0,10089078,141002858,0,37752194,0,0,1205100,1586706,16234305,0.00105535062246113,0,0.0230907285539011,0.0779174410142821,0.049803636319534,0.0531812629442929,0.0603706347594692,0,0.0356532249334782,0.498282064281522,0,0.133410353692806,0,0,0.00425863506728113,0.00560717103399334,0.057369496776979
2016,Inter-governmental,0,0,0,0,0,0,0,0,0,5e+05,0,0,0,0,0,31910678,0,0,0,0,0,0,0,0,0,0,0.0154270145166355,0,0,0,0,0,0.984572985483364,0
2016,NGO: Affiliated,0,0,0,0,3125930,335081.5,117974,0,1496904,850000,0,5273843,1505159,235736,745493,0,4659533.5,0,0,0,0,0.170390763937879,0.0182648980516039,0.00643062384148311,0,0.0815944746368813,0.0463324992393294,0,0.287470972689227,0.0820444449677292,0.0128496918125677,0.0406359457122652,0,0.253985685111035
2016,NGO: International,7903452,0,4097771,14392462.3333333,48814099.75,81118648.5,49910687,0,388908497.5,115699543.666667,0,636552278,24513438.3333333,3309540,71795558.9666667,112220141.666667,109333405.833333,0.00473666328176016,0,0.00245585870993607,0.00862562939186778,0.029255058918306,0.0486156838576307,0.0299122609310874,0,0.23307898878525,0.0693405590623321,0,0.381495807417239,0.0146912897381033,0.00198345945512373,0.0430282094394774,0.067255298634878,0.0655252323770085
2016,NGO: Local,0,0,0,0,0,824950,1562613,0,4890021,1129028,0,8e+05,197393,0,668794,52685,1107460,0,0,0,0,0,0.0734402308068125,0.139109836210347,0,0.435328530080805,0.100510427186319,0,0.0712190855754288,0.0175726861987383,0,0.0595386213979167,0.00469022190442684,0.0985903606392055
2016,NGO: National,1030071,0,0,1101150,798295,5465138,4173830,0,9612042,8966842,36000,30173317,5721303,0,4433777,242778,6649011,0.0131380651443428,0,0,0.0140446439456048,0.010181872622764,0.0697052330051263,0.053235214311841,0,0.122597019007582,0.114367800214771,0.000459162858867342,0.384846291534182,0.0729724956090638,0,0.0565507145250074,0.00309651779305821,0.084804969427789
2016,NGO: Uncategorized NGO,0,0,0,0,0,0,167001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,Pooled fund: Country-based,0,0,0,13625369,0,0,2090686,0,0,0,0,27056025,0,44947709,0,665828256,0,0,0,0,0.0180816194672763,0,0,0.00277445613968782,0,0,0,0,0.0359048439970407,0,0.0596480998102782,0,0.883590980585717,0
2016,Pooled fund: Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426278391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,Private organization/foundation: International organization/foundation/individual,196000,0,0,615390,0,83933,0,0,0,9771,0,0,0,0,559120,642864,22412,0.0920408172848898,0,0,0.288984686474226,0,0.0394146016182278,0,0,0,0.00458842258005438,0,0,0,0,0.262560519185345,0.301886367158334,0.0105245856989232
2016,Private organization/foundation: Local/National organization/foundation/individual,0,0,0,0,40000,0,0,0,0,111995,0,86262,0,0,0,65064,0,0,0,0,0,0.131873493757438,0,0,0,0,0.369229298334108,0,0.284391782962604,0,0,0,0.214505424945849,0
2016,Private organization/foundation: Uncategorized,0,0,0,0,0,41887,20605286,0,2168399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183589523856776,0.903123796326474,0,0.0950403084349584,0,0,0,0,0,0,0,0
2016,Red Cross/Red Crescent: International Society,0,0,0,1278282,685307,0,2036670,0,7787140,5685307,0,2e+06,685307,685307,36599457,67598507,685307,0,0,0,0.0101671570813528,0.00545077214413616,0,0.016199198465502,0,0.0619370965049072,0.0452196067258358,0,0.0159075338326798,0.00545077214413616,0.00545077214413616,0.291103550242605,0.537662768570572,0.00545077214413616
2016,Red Cross/Red Crescent: National Society,12510,0,0,41329030,13615227,1001523,6641340.66666667,0,18536731,33506135,10778032,13529518,0,0,8205,43422451,2821876,6.75476555999573e-05,0,0,0.223155802135916,0.0735153208881886,0.00540771628132982,0.0358598714687443,0,0.100088946565712,0.180916136488064,0.0581959067610967,0.0730525357551897,0,0,4.43028388647202e-05,0.23445921386523,0.015236699296066
2016,UN agency,109723416.25,0,31570424,410940235,157080095.5,177376249,195811452,1198760,3267484871.5,500415264,129079630,3473525168,343180764,76212195,401410088,3988025289,346910889,0.00806200303829333,0,0.00231965849138614,0.0301941147692526,0.0115415674288797,0.0130328411858856,0.0143873803323785,8.80797107170322e-05,0.240080685253094,0.0367683537084215,0.00948421407943338,0.255219636929636,0.0252154413033219,0.00559974314183828,0.0294938807016738,0.293022885137416,0.0254895147883717
2017,"",5823,0,10668448,3286109,1893990,3941103,15487834,0,15515251.3333333,14504809.3333333,0,0,776740,0,3016507,10575628,8180706.33333333,6.62812127114822e-05,0,0.121435286139342,0.0374046521762178,0.021558638856847,0.044860224327814,0.176292704755989,0,0.176604786861888,0.165103271983884,0,0,0.00884136513163605,0,0.034335865037382,0.120378747900654,0.0931181756156339
2017,Government,0,0,0,0,425000,0,0,0,113849,0,0,0,0,0,0,0,27401,0,0,0,0,0.750551876379691,0,0,0,0.201057836644592,0,0,0,0,0,0,0,0.0483902869757174
2017,Government: Local Government,0,0,0,0,0,0,0,0,8505465,4725401,21504547,0,0,0,0,0,66900,0,0,0,0,0,0,0,0,0.244393670041414,0.135778360478512,0.617905683452706,0,0,0,0,0,0.00192228602736835
2017,Government: National government,0,0,0,10894775,1100000,42620846,20063315,0,5123189,64720398,2649000,185115,0,0,5e+05,14920888,21531258,0,0,0,0.0591115342608956,0.00596824511630439,0.231246959992965,0.108857074332388,0,0.0277967706628676,0.351151999353433,0.0143726193755367,0.00100437426791335,0,0,0.00271283868922927,0.0809559244881134,0.116821659460354
2017,Inter-governmental,0,0,0,0,0,0,0,0,8236561,2053000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800477396460354,0.199522603539646,0,0,0,0,0,0,0
2017,NGO,0,0,0,0,0,0,0,0,0,0,0,710785,0,0,474042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599906146635754,0,0,0.400093853364246,0,0
2017,NGO: Affiliated,0,0,0,904404,0,1453252,1060806,0,5062911,2647205,0,783085,887889,0,805144,685811,782534,0,0,0,0.0600014290414257,0,0.0964139883915926,0.0703777028139179,0,0.335891808428041,0.175625144255894,0,0.0519526882465191,0.0589057642714566,0,0.0534161620073879,0.0454991796280525,0.0519161329157136
2017,NGO: International,5512978,0,4355474,21623004.15,58970633.4166667,65557949.8166667,45581518.2333333,0,140109943.9,94507611.5,2352343,486399975.5,53516043.9166667,399997,111413146.966667,214614428.5,121134046.316667,0.00386591038300003,0,0.00305422444266723,0.0151628749933589,0.0413524566971935,0.0459717341307088,0.0319634986047738,0,0.0982504350433761,0.0662723407512932,0.00164955260624611,0.341082209211865,0.0375274905567422,0.000280493148252879,0.0781271468272039,0.150495820494797,0.0849438121085207
2017,NGO: Local,298942,0,349676,0,74999,691609,3355924,0,5327407.5,1967060,0,0,793902,0,3481618,0,4044243.5,0.0146645284677289,0,0.0171532727301001,0,0.00367905804654816,0.0339267144430609,0.1646240509314,0,0.261334703530927,0.0964936588626918,0,0,0.0389446731459177,0,0.170789940104627,0,0.198389399736998
2017,NGO: National,873003,0,647407,1102994,6076646,13421313,25453585,0,50342676,28033709,20050764,11551964.5,8993033,0,10142604.5,1112856,21178364,0.00438737042922191,0,0.00325361347838583,0.00554321492504515,0.030538837746548,0.0674502513479697,0.127919727820736,0,0.2530025303582,0.140886418360546,0.100767270051658,0.0580556394957649,0.0451954541430176,0,0.0509727493016554,0.0055927774662655,0.106434145074986
2017,NGO: Uncategorized NGO,230585,0,0,0,248941,0,0,0,0,0,0,761507,239999,0,0,361449,135834,0.116556261262741,0,0,0,0.125834864518542,0,0,0,0,0,0,0.384927071775728,0.121314856329755,0,0,0.182705484212575,0.0686614619006579
2017,Pooled fund: Country-based,0,0,0,22883133,0,0,0,0,0,0,0,5440202,0,0,0,705359836,0,0,0,0,0.0311893933301082,0,0,0,0,0,0,0,0.00741491997504193,0,0,0,0.96139568669485,0
2017,Pooled fund: Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514636633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,Private organization/foundation: International organization/foundation/individual,0,0,0,54000,0,0,512552,0,1416335,0,0,0,0,0,0,0,0,0,0,0,0.0272330193298963,0,0,0.258487750436611,0,0.714279230233493,0,0,0,0,0,0,0,0
2017,Private organization/foundation: Local/National organization/foundation/individual,0,0,0,0,0,0,0,0,2073620,0,0,104026103,0,0,320186,420000,0,0,0,0,0,0,0,0,0,0.019408664977429,0,0,0.973663343348598,0,0,0.00299687638258846,0.00393111529138423,0
2017,Private organization/foundation: Uncategorized,0,0,0,0,0,4016,12342314,0,1322550,4584540,0,0,0,0,0,0,0,0,0,0,0,0,0.000220013564581322,0.676164466713635,0,0.0724549152980647,0.251160604423719,0,0,0,0,0,0,0
2017,Red Cross/Red Crescent: International Society,0,0,0,0,1164048,0,522702,0,20375375.3333333,4127966.33333333,0,20438990,250000,0,5534280,40375038,1484466.33333333,0,0,0,0,0.0123476462463759,0,0.00554456464705337,0,0.216131917887522,0.0437874280106572,0,0.216806710851455,0.0026518765219252,0,0.0587049087910407,0.42827846137615,0.0157464856678202
2017,Red Cross/Red Crescent: National Society,0,0,5074882,2559258,13839679,1718304,7483307.66666667,0,30687122,21720238,2053344,3561746,1727265,0,10658963,57414159,4831694,0,0,0.0310713475238372,0.0156692499887013,0.0847344777331475,0.0105204457434871,0.0458171151839185,0,0.187884217242566,0.132983794145057,0.0125717533944604,0.021807058323255,0.0105753101413512,0,0.065260304301996,0.351522515612746,0.0295824106654773
2017,UN agency,135618944.75,0,30015038,575109644.5,70176204,227932949.833333,376538840,44022200,3746793035.5,613099650.5,193189493,3488901104,642537198.5,7700980,299796180,5008241300,296275705.666667,0.00860747577483433,0,0.00190499721806552,0.0365011123042774,0.00445394982989522,0.014466469618928,0.0238982020510392,0.00279400507615963,0.237801808190107,0.0389122655316793,0.0122613686754116,0.221433899141681,0.0407806105608167,0.000488766513518265,0.019027491782175,0.317863523741028,0.0188040539903831
2018,"",16722,0,9057233,18618115,1813096,20187065,14432640,0,21980061.5,22879108.5,0,24702704,3119054.5,0,7202310.5,55984147,13607831,7.82864846010738e-05,0,0.0424027587479271,0.0871634238278029,0.00848827365651647,0.0945086923372429,0.0675685114886282,0,0.102902867249755,0.107111887051283,0,0.115649315650095,0.0146023090589738,0,0.0337186682245187,0.262097958498968,0.0637070477236882
2018,Government: Local Government,0,0,0,598000,0,0,1176154,0,191682,833256,33104021,0,0,0,0,0,730871,0,0,0,0.0163236409122196,0,0,0.0321055444037973,0,0.00523235474470918,0.0227454376788503,0.903642393903977,0,0,0,0,0,0.0199506283564463
2018,Government: National government,0,0,0,466744617,2447971,4833524,1165488.5,0,11153991,57085236,115789,0,0,0,1900000,17778976,745346.5,0,0,0,0.827604021277416,0.00434059776970175,0.00857051962388438,0.00206657545522926,0,0.0197775988595753,0.101220172977743,0.000205310224327002,0,0,0,0.00336896791768911,0.0315246314491393,0.00132160444529572
2018,Inter-governmental,156016,0,0,0,99542738,4475475,403685,0,3890228,1921387,1.8e+08,0,0,0,2998,568764,7360998,0.000522978019922608,0,0,0,0.333675161630313,0.0150021475599498,0.00135318417324158,0,0.013040353146392,0.00644064178523382,0.603374292290979,0,0,0,1.00495340460464e-05,0.00190654208878104,0.0246746497711406
2018,NGO,0,0,0,0,0,0,0,0,288747,0,0,0,695248,0,0,0,0,0,0,0,0,0,0,0,0,0.293443564245753,0,0,0,0.706556435754247,0,0,0,0
2018,NGO: Affiliated,0,0,0,249999,1034250,1659718,2972061.33333333,0,136363982,8066580,434654.333333333,0,5244619,0,3681964.33333333,0,5507747,0,0,0,0.00151316847700345,0.00626000302937541,0.0100457720163489,0.0179889900412436,0,0.825370017324335,0.0488245735912005,0.00263083146569767,0,0.0317440955551557,0,0.0222858185938785,0,0.033336729905761
2018,NGO: International,3448498.5,0,8416833.83333333,25427255,62745880.4166667,73845250,109949298.5,0,162665959.833333,114342944.166667,5426817.66666667,98151480.5,62789134.1666667,0,132496922.8,206380877,174381907.833333,0.00277999557634889,0,0.00678520255222102,0.0204980969017952,0.0505823824462878,0.0595301022559175,0.0886352606656676,0,0.131132621562461,0.0921771834814606,0.00437481098135474,0.0791244889919756,0.050617251312741,0,0.106811952872777,0.166373256390572,0.14057739400842
2018,NGO: Local,598665.5,0,384868,0,0,2100509,5735033,0,6262016.5,3946034,0,149455.5,982678,0,5114742.5,655404,4727798,0.0195277266641798,0,0.0125539171804448,0,0,0.068516000350195,0.187069668845208,0,0.204259217507246,0.128714738630437,0,0.00487505318488927,0.0320537384948738,0,0.166836561481602,0.0213784662162929,0.154214911444631
2018,NGO: National,1185832,0,1227986,1323654,2712790,23268674.8333333,19569702.5,0,62165652.5,28586226.5,256446,2213577.5,10162061.5,432000,22340313.3333333,1751877,22635551.3333333,0.0059341344365448,0,0.00614508126799993,0.00662382258487734,0.0135753298596381,0.116440983732305,0.0979306052781395,0,0.311089040665564,0.14305104861778,0.0012833057631386,0.0110771732173788,0.0508529362451309,0.00216181219311618,0.111795281856565,0.00876673393388843,0.113272710347934
